Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
7/17/2007 12:45,deerfield,il,us,teardrop,600,10 minutes,teardrop shaped craft passed by a plane hovered for about 10 minutes then flew away extremly fast. the object was white. the pointed pa,03/04/2008,42.1711111,-87.8444444
9/22/2002 20:00,lake center,ms,us,teardrop,240.0,3-4 min.,Trucker observes Star-like object near Lake Center&#44 Ms.,10/15/2002,34.6888889,-89.3583333
01/07/2005 20:51,miami,fl,us,disk,10,10 seconds,Location:  Miami&#44 Florida.  The incident occurred between 8:51 and 8:53pm Eastern Time.  The observers cannot be more precise about the,01/11/2005,25.7738889,-80.1938889
8/28/2013 21:00,sidney,oh,us,sphere,1200.0,20 minutes,Spotting of 8 clusters of 3 red/orange fire orbs flying over Sidney Ohio ( Took Pictures),1/16/2014,40.2841667,-84.1555556
04/09/2009 02:18,pilar&#44 azores (portugal),,,cylinder,60,1 minute,A 15 year old sees a small hovering cylinder in the Azores&#44 Portugal.,05/12/2009,37.906332,-25.782666
6/13/2006 22:00,leesburg,fl,us,fireball,2,few seconds,strange leesburg aircraft? comet?,7/16/2006,28.8105556,-81.8780556
06/11/2013 22:00,ravenna,oh,us,triangle,300,5 minutes,Fiery orange object seen flying at night from west to east in a circular pattern.,07/03/2013,41.1575,-81.2422222
3/23/2014 10:00,bemidji,mn,us,disk,0.33,0.33 second,Saucer-shaped UFO caught on video in the western skies of Bemidji&#44 MN.,04/04/2014,47.4736111,-94.88
11/01/2009 17:20,new albany,in,us,oval,120,2 minutes,Large disc appearing and disappearing while hovering with no change in direction.,12/12/2009,38.2855556,-85.8241667
6/14/2008 17:40,panorama city,ca,us,circle,1200,20 minutes,panorama city ca silver circle space sheep ufo 20 minutes over my house 6/14/08,07/05/2008,34.2247222,-118.4488889
03/02/2006 22:00,hanau (germany),,de,changing,600,10 minutes,Orange shape shifting craft hovering over military installation,03/11/2006,50.133333,8.916667
3/29/2004 19:50,ottawa (canada),on,ca,light,180,2-3 minutes,I was out last night taking out the garbage after sunset at around 7:50pm and noticed a light moving across the sky directly above me.,04/09/2004,45.416667,-75.7
06/01/1968 19:00,gadsden,al,us,other,60,1 minute,It was like nothing I had ever seen before.,7/29/2000,34.0141667,-86.0066667
6/27/2012 23:00,show low,az,us,light,1800,30 minutes,Brightly lit object moves erraticly through Eastern Arizona sky.,07/04/2012,34.2541667,-110.0291667
08/01/1998 23:30,moldova noua (romania),,,changing,60,01.00.00,A strong light bellow the Donau&#44 maybe on yugoslavian teritory. A light like a shining star with irization&#44 with green mouving filament,11/16/2002,44.735184,21.664235
11/14/2012 22:45,berkeley,ca,us,diamond,5,5 seconds,Green non flashing flies north diamond in shape.,11/19/2012,37.8716667,-122.2716667
9/21/2013 23:00,delta,oh,us,fireball,30.0,30 seconds,Brightly orange fireball with small objects coming out of it.,9/30/2013,41.5736111,-84.0052778
7/28/2002 22:00,rapid city,sd,us,light,300,appr 5 min,A single point of light&#44 similar to a satellite&#44 was seen moving erratically across the night sky over the Black Hills of SD.,7/30/2002,44.0805556,-103.2305556
9/14/2009 22:15,chesapeake,va,us,unknown,120.0,2 mins,Around 10:15 pm on September 14&#44 2009.  My fiance and I witnessed a light traveling at a fast speed.  At first glance we thought it was,12/12/2009,36.8188889,-76.2752778
06/01/2005 16:00,hopkinsville,ky,us,light,1200,20mins,3 lights,09/02/2005,36.8655556,-87.4886111
9/17/2005 23:00,matthews,nj,us,diamond,300.0,5 min.,It was diamoned shape and green.,10/11/2005,40.1569444,-74.2577778
